Keyword	Currency	Avg. monthly searches	Min search volume	Max search volume	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2019	Searches: Aug 2019	Searches: Sep 2019	Searches: Oct 2019	Searches: Nov 2019	Searches: Dec 2019	Searches: Jan 2020	Searches: Feb 2020	Searches: Mar 2020	Searches: Apr 2020	Searches: May 2020	Searches: Jun 2020	Concept: Other Brands	Concept: Non-Brands	Concept: Others	Google_Adult	SERP_Adult	All_Adult
black boys	USD		10,000	100,000	Low	2.0	1.22	4.15																					False	False	False
blackboyaddictionz	USD		10,000	100,000	Low	0.0																				blackboyaddictionz			False	False	False
gay black boys	USD		1,000	10,000	Low	2.0	0.47	1.25																			Non-Brands	gay boy	True	False	True
naked black boys	USD		1,000	10,000	Low	0.0																					Non-Brands	naked black boys	True	True	True
hot black boys	USD		1,000	10,000	Low	0.0																					Non-Brands		False	False	False
young gay black boys	USD		1,000	10,000	Low	1.0	0.85	1.84																			Non-Brands	gay boy, teen boy	False	True	True
black boys addictionz	USD		1,000	10,000	Low	0.0																				blackboyaddictionz			False	False	False
african gay boys	USD		100	1,000	Low	3.0																					Non-Brands	gay boy	False	True	True
black boys tube	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
black gay teen boys	USD		1,000	10,000	Low	1.0																					Non-Brands	gay boy, teen boy	False	True	True
teen gay black	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	False	False
big booty black boys	USD		100	1,000	Low	0.0																					Non-Brands	big booty black boys	True	True	True
black boys with big dicks	USD		1,000	10,000	Low	0.0																					Non-Brands	big dicks	False	True	True
black sissy boy	USD		100	1,000	Low	2.0																				sissy boy			False	False	False
naked black teen boys	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
big black boy	USD		100	1,000	Low	1.0																					Non-Brands		False	True	True
black boy booty	USD		100	1,000	Low	0.0																					Non-Brands	big booty black boys	True	True	True
black teen boys naked	USD		100	1,000	Low	0.0																					Non-Brands	teen boy, naked black boys	True	True	True
black nude boys	USD		1,000	10,000	Low	0.0																					Non-Brands	naked black boys	True	True	True
young black boys with big dicks	USD		100	1,000	Low	0.0																					Non-Brands	big dicks	False	True	True
nude black teen boys	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
gay black boys tumblr	USD		10	100	Low	0.0																				tumblr		gay boy	False	False	False
naked black boys tumblr	USD		10	100	Low	1.0																				tumblr		naked black boys	True	False	True
black teen boy nude	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
naked african boy	USD		100	1,000	Low	0.0																					Non-Brands	naked black boys	True	False	True
black teen gay tube	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
young black gay tube	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
black teen boys nude	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
black gay boys tube	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
hung black boys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
teenage black boys	USD		1,000	10,000	Low	2.0																					Non-Brands	teen boy	False	False	False
black sexy boys	USD		1,000	10,000	Low	1.0																					Non-Brands	sexy boys	True	True	True
african boy nude	USD		100	1,000	Low	0.0																					Non-Brands	naked black boys	True	False	True
ebony gay boys	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
hot gay black boys	USD		100	1,000	Low	2.0																					Non-Brands	gay boy	False	True	True
tumblr black boys	USD		100	1,000	Low	0.0																				tumblr			False	False	False
gayboystube black	USD		0	10	Unknown																					gayboystube		gay boy	False	True	True
straight black boys	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, straight boys	False	True	True
hot black teen boys	USD		100	1,000	Low	0.0	2.0	2.0																			Non-Brands	teen boy	False	True	True
naked gay black boys	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
black boys naked tumblr	USD		10	100	Low	1.0																				tumblr		naked black boys	True	False	True
broke black boys	USD		10	100	Low	1.0																					Non-Brands		False	True	True
black boy dicks	USD		1,000	10,000	Low	0.0																					Non-Brands	gay boy, big dicks	False	False	False
cute gay black boys	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, cute black boys	False	True	True
black on white boys	USD		100	1,000	Low	21.0																					Non-Brands	white	False	False	False
nude black boys tumblr	USD		10	100	Low	1.0																				tumblr		naked black boys	True	False	True
black boy pornhub	USD		100	1,000	Low	0.0																				pornhub			True	True	True
black boy gay tube	USD		10	100	Low	0.0																					Non-Brands	gay boy	False	True	True
black gay boys tumblr	USD		10	100	Low	0.0																				tumblr		gay boy	False	False	False
cute teen black boys	USD		1,000	10,000	Low	1.0																					Non-Brands	teen boy, cute black boys	False	False	False
chubby black boy	USD		100	1,000	Low	0.0																					Non-Brands	gay boy	False	True	True
ebony sissy boy	USD		100	1,000	Low	0.0																				sissy boy			False	True	True
sexy gay black boys	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, sexy boys	True	True	True
pornhub black boys	USD		10	100	Low	0.0																				pornhub		gay boy	True	True	True
black boys nude tumblr	USD		10	100	Low	0.0																				tumblr		naked black boys	True	False	True
thick black boys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
young gay black tube	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
young black boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
jett black cockyboys	USD		10	100	Low	0.0																				cockyboys			False	True	True
hot black boys naked	USD		100	1,000	Low	0.0																					Non-Brands	naked black boys	True	True	True
dl black boys	USD		100	1,000	Low	3.0																					Non-Brands		False	False	False
teen black gay tube	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
sexy naked black boys	USD		10	100	Low	0.0																					Non-Brands	naked black boys, sexy boys	True	True	True
african teen boys	USD		100	1,000	Low	1.0																					Non-Brands	teen boy	False	False	False
hot black boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
hot naked black boys	USD		100	1,000	Low	0.0																					Non-Brands	naked black boys	True	True	True
vadim black devon felix	USD		10	100	Low	0.0																					Non-Brands		False	False	False
black african gay boys	USD		10	100	Low	4.0																					Non-Brands	gay boy	False	True	True
gay black boys xnxx	USD		10	100	Low	0.0																					Non-Brands	gay boy	True	True	True
