Keyword	Currency	Avg. monthly searches	Min search volume	Max search volume	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2019	Searches: Aug 2019	Searches: Sep 2019	Searches: Oct 2019	Searches: Nov 2019	Searches: Dec 2019	Searches: Jan 2020	Searches: Feb 2020	Searches: Mar 2020	Searches: Apr 2020	Searches: May 2020	Searches: Jun 2020	Concept: Other Brands	Concept: Non-Brands	Concept: Others	Google_Adult	SERP_Adult	All_Adult
latino boys	USD		1,000	10,000	Low	0.0	1.11	2.63																					False	False	False
gay latino boys	USD		1,000	10,000	Low	1.0	0.48	0.51																			Non-Brands		False	True	True
gay teen latino	USD		1,000	10,000	Low	0.0																					Non-Brands	teen boy	False	True	True
teen gay latino	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hot latino boys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
cute latino boys	USD		1,000	10,000	Low	0.0																					Non-Brands		False	True	True
passionlatinoboys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
naked latino boys	USD		100	1,000	Low	0.0																					Non-Brands	boys nudes	True	True	True
young gay latino boys	USD		100	1,000	Low	1.0																					Non-Brands	teen boy	False	True	True
teen latino gay	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
gay boy latin	USD		10	100	Low	3.0	1.7	3.42																			Non-Brands		False	True	True
gay latin boyz	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
nude latino boys	USD		100	1,000	Low	0.0																					Non-Brands	boys nudes	True	True	True
bi latin boys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
latin teen gay	USD		100	1,000	Low	0.0																					Non-Brands	teen boy	False	True	True
passion latino boys	USD		100	1,000	Low	0.0																					Non-Brands		False	False	False
hot latin boys	USD		100	1,000	Low	1.0																					Non-Brands		False	True	True
latino boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
naked latin boys	USD		100	1,000	Low	0.0																					Non-Brands	boys nudes	True	True	True
latino boy tube	USD		10	100	Low	0.0																					Non-Brands	gay boys tube	False	True	True
latino teen boys	USD		100	1,000	Low	0.0																					Non-Brands	teen boy	False	True	True
nude latin boys	USD		100	1,000	Low	1.0																					Non-Brands	boys nudes	True	True	True
teen gay latinos	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
sexy latino boys	USD		100	1,000	Low	0.0																					Non-Brands		True	True	True
latin boys tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
latin boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
hot hispanic boys	USD		100	1,000	Low	0.0																					Non-Brands		False	False	False
young latino boys	USD		100	1,000	Low	0.0																					Non-Brands		False	False	False
cute latin boys	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
teen boy latino	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
hot gay latino boys	USD		10	100	Low	1.0																					Non-Brands		False	True	True
latin teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
gay latino teen boys	USD		100	1,000	Low	0.0																					Non-Brands	teen boy	False	True	True
latinos boyz	USD		1,000	10,000	Low	0.0																					Non-Brands		False	True	True
gay hispanic boys	USD		10	100	Low	3.0																					Non-Brands		False	False	False
hung latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
cute latino gay	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
latino boy feet	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
latin gay young	USD		10	100	Unknown																						Non-Brands	teen boy	False	True	True
gayboystube latino	USD		10	100	Low	0.0																				gayboystube		gay boys tube	False	True	True
gay latino 18	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latin male nude	USD		100	1,000	Low	0.0																					Non-Brands	boys nudes	True	True	True
latino male tube	USD		10	100	Low	0.0																					Non-Brands	gay boys tube	False	False	False
latin gay boy tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
boys gay latino	USD		10	100	Low	0.0																					Non-Brands		False	True	True
naked latino boys tumblr	USD		10	100	Low	0.0																				tumblr		boys nudes	True	False	True
